cause,year,deaths,deaths_share,nyt_mentions,wapo_mentions,fox_mentions,us_mentions,nyt_share,wapo_share,fox_share,us_share
accidents,2023,181146.0,7.847,1189,1489,697,25659,4.616,5.349,3.406,4.123
alzheimers,2023,114034.0,4.94,162,77,97,4453,0.629,0.277,0.474,0.716
cancer,2023,613352.0,26.569,735,625,554,29788,2.853,2.245,2.708,4.787
covid,2023,49932.0,2.163,1160,822,932,42965,4.503,2.953,4.555,6.904
diabetes,2023,95190.0,4.123,112,220,158,6738,0.435,0.79,0.772,1.083
diarrhea,2023,,0.0,44,100,55,1550,0.171,0.359,0.269,0.249
drug overdose,2023,41552.0,1.8,1896,1152,1119,36563,7.36,4.138,5.469,5.875
heart disease,2023,680981.0,29.498,446,436,337,14846,1.731,1.566,1.647,2.386
hiv,2023,,0.0,121,291,254,7152,0.47,1.045,1.241,1.149
homicide,2023,22390.0,0.97,10170,6469,5418,187295,39.48,23.239,26.48,30.097
influenza,2023,45185.0,1.957,232,241,235,7275,0.901,0.866,1.149,1.169
kidney,2023,55253.0,2.393,32,63,51,1922,0.124,0.226,0.249,0.309
liver,2023,52222.0,2.262,41,49,38,2441,0.159,0.176,0.186,0.392
malaria,2023,,0.0,25,70,74,1475,0.097,0.251,0.362,0.237
respiratory,2023,145357.0,6.296,115,212,148,5501,0.446,0.762,0.723,0.884
stroke,2023,162639.0,7.045,153,119,119,4066,0.594,0.427,0.582,0.653
suicide,2023,49316.0,2.136,801,580,394,16428,3.109,2.084,1.926,2.64
tb,2023,,0.0,19,48,33,900,0.074,0.172,0.161,0.145
terrorism,2023,16.0,0.001,2140,2813,1451,37734,8.307,10.105,7.092,6.064
war,2023,,0.0,6167,11961,8297,187560,23.94,42.968,40.55,30.139
