cause,year,deaths,deaths_share,nyt_mentions,wapo_mentions,fox_mentions,us_mentions,nyt_share,wapo_share,fox_share,us_share
accidents,2023,181146.0,7.847,1189.0,1489.0,697.0,25659.0,6.127,9.656,5.901,6.038
alzheimers,2023,114034.0,4.94,185.0,131.0,161.0,5723.0,0.953,0.849,1.363,1.347
cancer,2023,613352.0,26.569,735.0,625.0,554.0,29788.0,3.787,4.053,4.69,7.01
covid,2023,49932.0,2.163,1160.0,822.0,932.0,42965.0,5.977,5.33,7.89,10.111
diabetes,2023,95190.0,4.123,112.0,220.0,158.0,6738.0,0.577,1.427,1.338,1.586
drug overdose,2023,41552.0,1.8,1896.0,1152.0,1119.0,36563.0,9.77,7.47,9.473,8.604
heart disease,2023,680981.0,29.498,446.0,436.0,337.0,14846.0,2.298,2.827,2.853,3.494
homicide,2023,22390.0,0.97,10170.0,6469.0,5418.0,187293.0,52.404,41.949,45.869,44.075
influenza,2023,45185.0,1.957,232.0,241.0,235.0,7275.0,1.195,1.563,1.99,1.712
kidney,2023,55253.0,2.393,32.0,63.0,51.0,1922.0,0.165,0.409,0.432,0.452
liver,2023,52222.0,2.262,41.0,49.0,38.0,2441.0,0.211,0.318,0.322,0.574
respiratory,2023,145357.0,6.296,115.0,212.0,148.0,5501.0,0.593,1.375,1.253,1.295
stroke,2023,162639.0,7.045,153.0,119.0,119.0,4066.0,0.788,0.772,1.007,0.957
suicide,2023,49316.0,2.136,801.0,580.0,394.0,16428.0,4.127,3.761,3.336,3.866
terrorism,2023,16.0,0.001,2140.0,2813.0,1451.0,37734.0,11.027,18.241,12.284,8.88
